episode,agent,reward,steps
384,agente_q,0.22999999999999954,78
385,agente_fixo,13.969999999999999,17
385,agente_q,0.84,17
386,agente_fixo,69.97,73
386,agente_q,0.2799999999999996,73
387,agente_fixo,17.97,21
387,agente_q,0.7999999999999999,21
388,agente_fixo,0.97,4
388,agente_q,0.97,4
389,agente_fixo,27.97,31
389,agente_q,0.7,31
390,agente_fixo,5.97,9
390,agente_q,0.92,9
391,agente_fixo,33.97,37
391,agente_q,0.6399999999999999,37
392,agente_fixo,1.97,5
392,agente_q,0.96,5
393,agente_fixo,16.97,20
393,agente_q,0.8099999999999999,20
394,agente_fixo,20.97,24
394,agente_q,0.7699999999999999,24
395,agente_fixo,7.97,11
395,agente_q,0.9,11
396,agente_fixo,9.969999999999999,13
396,agente_q,0.88,13
397,agente_fixo,45.97,49
397,agente_q,0.5199999999999998,49
398,agente_fixo,54.97,58
398,agente_q,0.4299999999999997,58
399,agente_fixo,63.97,67
399,agente_q,0.33999999999999964,67
400,agente_fixo,48.97,52
400,agente_q,0.48999999999999977,52
401,agente_fixo,103.97,107
401,agente_q,-0.06000000000000072,107
402,agente_fixo,37.97,41
402,agente_q,0.5999999999999999,41
403,agente_fixo,22.97,26
403,agente_q,0.75,26
404,agente_fixo,16.97,20
404,agente_q,0.8099999999999999,20
405,agente_fixo,41.97,45
405,agente_q,0.5599999999999998,45
406,agente_fixo,126.97,130
406,agente_q,-0.2900000000000009,130
407,agente_fixo,17.97,21
407,agente_q,0.7999999999999999,21
408,agente_fixo,42.97,46
408,agente_q,0.5499999999999998,46
409,agente_fixo,44.97,48
409,agente_q,0.5299999999999998,48
410,agente_fixo,0.97,4
410,agente_q,0.97,4
411,agente_fixo,38.97,42
411,agente_q,0.5899999999999999,42
412,agente_fixo,16.97,20
412,agente_q,0.8099999999999999,20
413,agente_fixo,26.97,30
413,agente_q,0.71,30
414,agente_fixo,15.969999999999999,19
414,agente_q,0.82,19
415,agente_fixo,21.97,25
415,agente_q,0.7599999999999999,25
416,agente_fixo,0.97,4
416,agente_q,0.97,4
417,agente_fixo,20.97,24
417,agente_q,0.7699999999999999,24
418,agente_fixo,25.97,29
418,agente_q,0.72,29
419,agente_fixo,135.97,139
419,agente_q,-0.380000000000001,139
420,agente_fixo,58.97,62
420,agente_q,0.3899999999999997,62
421,agente_fixo,3.9699999999999998,7
421,agente_q,0.94,7
422,agente_fixo,21.97,25
422,agente_q,0.7599999999999999,25
423,agente_fixo,54.97,58
423,agente_q,0.4299999999999997,58
424,agente_fixo,40.97,44
424,agente_q,0.5699999999999998,44
425,agente_fixo,6.97,10
425,agente_q,0.91,10
426,agente_fixo,6.97,10
426,agente_q,0.91,10
427,agente_fixo,14.969999999999999,18
427,agente_q,0.83,18
428,agente_fixo,5.97,9
428,agente_q,0.92,9
429,agente_fixo,133.97,137
429,agente_q,-0.360000000000001,137
430,agente_fixo,0.97,4
430,agente_q,0.97,4
431,agente_fixo,19.97,23
431,agente_q,0.7799999999999999,23
432,agente_fixo,15.969999999999999,19
432,agente_q,0.82,19
433,agente_fixo,33.97,37
433,agente_q,0.6399999999999999,37
434,agente_fixo,49.97,53
434,agente_q,0.47999999999999976,53
435,agente_fixo,42.97,46
435,agente_q,0.5499999999999998,46
436,agente_fixo,5.97,9
436,agente_q,0.92,9
437,agente_fixo,37.97,41
437,agente_q,0.5999999999999999,41
438,agente_fixo,70.97,74
